Category,Name,Platform,Website,Audience_Size,Contact_Email,Contact_Type,Email_Verified,Audience_Level,Outreach_Angle,Priority,Email_Subject,Email_Body
National Federation,Norwegian Chess Federation (Norges Sjakkforbund),Organization,sjakk.no,25K+ members,nsf@sjakk.no,Direct Email,YES - confirmed,All Levels,Partnership / member tool,MEDIUM,gratis analyseverktoy for NSF-spillere - FireChess,"Hei,

Vi har laget FireChess (firechess.com), et gratis analyseverktoy som henter en spillers partier fra Chess.com eller Lichess og identifiserer apningssvakheter, taktiske feil og sluttspillmonstre.

Vi ville gjerne tilby dette gratis til NSF-spillere eller utforske et samarbeid. Ta gjerne kontakt.

[Your name]
firechess.com"
National Federation,Swiss Chess Federation (SSB),Organization,swisschess.ch,10K+ members,office@swisschess.ch,Direct Email,YES - confirmed,All Levels,Partnership / member tool,MEDIUM,free analysis tool for SSB members - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds their opening leaks, missed tactics, and endgame patterns in under a minute.

We would love to offer it to Swiss Chess Federation members or explore a simple partnership. Happy to share more details.

[Your name]
firechess.com"
National Federation,Polish Chess Federation (PZSzach),Organization,pzszach.pl,25K+ members,biuro@pzszach.pl,Direct Email,YES - confirmed,All Levels,Partnership / member tool,MEDIUM,free game analysis tool for PZSzach members - FireChess,"Hello,

We created FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds opening weaknesses, missed tactics, and endgame patterns in under a minute.

We would love to offer this to PZSzach members or explore a collaboration. Happy to discuss.

[Your name]
firechess.com"
National Federation,Czech Chess Federation,Organization,chess.cz,15K+ members,sekretariat@chess.cz,Direct Email,YES - confirmed,All Levels,Partnership / member tool,MEDIUM,free game analysis tool for Czech chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds their opening leaks and patterns in under a minute.

We would love to offer this to Czech Chess Federation members or explore a partnership. Happy to share more details.

[Your name]
firechess.com"
National Federation,Royal Belgian Chess Federation (FRBE-KBSB),Organization,frbe-kbsb-ksb.be,5K+ members,info@frbe-kbsb-ksb.be,Direct Email,YES - confirmed,All Levels,Partnership / member tool,LOW,free game analysis tool for Belgian chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform. It scans a player's Chess.com or Lichess games and finds their opening leaks, missed tactics, and endgame patterns in under a minute.

We would love to offer this to FRBE-KBSB members or explore a simple partnership. Happy to share more.

[Your name]
firechess.com"
Chess Club,Marshall Chess Club (NYC),Chess Club,marshallchessclub.org,NYC flagship club - 150+ active members,td@marshallchessclub.org,Direct Email,YES - confirmed,Intermediate to Advanced,Club Partnership / Member Benefit,MEDIUM,free game analysis for Marshall members - FireChess,"Hi,

The Marshall Chess Club is legendary. We wanted to reach out about offering FireChess (firechess.com) free to your members.

It scans Chess.com or Lichess games and finds exactly where a player is losing points. Opening leaks, missed tactics, endgame weak spots - all from just a username. Takes under a minute.

Coaches tell us it is a great pre-lesson tool. Would love to connect.

[Your name]
firechess.com"
Chess Club,Boylston Chess Foundation (Boston),Chess Club,boylstonchess.org,One of oldest clubs in the US (est. 1919),info@boylstonchess.org,Direct Email,YES - confirmed,All Levels,Club Partnership / Member Benefit,LOW,free tool for Boylston members - FireChess,"Hi,

Big respect for Boylston - 100+ years of chess history. We built FireChess (firechess.com), a free game analysis tool that finds where a player is losing points from their Chess.com or Lichess history.

Would love to offer it free to your members or explore any collaboration.

[Your name]
firechess.com"
Chess Publisher,Gambit Publications,Chess Books,gambitbooks.com,Major chess book publisher,info@gambitbooks.com,Direct Email,YES - confirmed,Intermediate to Advanced,Advertising / editorial mention in chess books,LOW,advertising / partnership idea - FireChess,"Hi,

I run FireChess (firechess.com), a free web tool that scans a player's games and finds their opening weaknesses in under a minute. No downloads, works in the browser.

Gambit's readers are exactly the kind of serious players who would use FireChess regularly. Wondering if there is any interest in a mention, a banner on the site, or any cross-promotion.

[Your name]
firechess.com"
Chess Publisher / Magazine,New In Chess (NIC),Magazine + Books,newinchess.com,50K+ magazine readers,nic@newinchess.com,Direct Email,YES - confirmed,Intermediate to Advanced,Advertising / editorial coverage,MEDIUM,advertising idea for New In Chess readers - FireChess,"Hi,

I run FireChess (firechess.com), a free game analysis tool that finds a player's opening leaks from their Chess.com or Lichess games. Your readership is exactly who this is built for - serious players who study the game.

Would you ever consider an ad or a small editorial mention? Happy to discuss any format.

[Your name]
firechess.com"
Chess Media / Blog,The Chess Drum,Chess Blog / News,thechessdrum.net,100K+ monthly readers,webmaster@thechessdrum.net,Direct Email,YES - confirmed,All Levels,Editorial Coverage / Advertising,LOW,FireChess - worth a mention for your readers?,"Hi,

We launched FireChess (firechess.com), a free tool that scans a player's Chess.com or Lichess games and finds their opening leaks and tactical patterns.

The Chess Drum covers chess broadly and your readers are exactly the audience FireChess is built for. Would you be open to covering it or a small sidebar link?

[Your name]
firechess.com"
National Federation,All India Chess Federation (AICF),Organization,aicf.in,50K+ registered players,indianchessfed@gmail.com,Direct Email,YES - confirmed,All Levels,Partnership / member tool,MEDIUM,free game analysis tool for Indian chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds their opening weaknesses, missed tactics, and endgame patterns in under a minute.

India has one of the fastest-growing chess communities in the world. We would love to explore making FireChess available for AICF members or work with your affiliated coaches. Happy to discuss.

[Your name]
firechess.com"
National Federation,Chess South Africa (CHESSA),Organization,chessa.co.za,5K+ registered players,generalsecretary@chessa.co.za,Direct Email,YES - confirmed,All Levels,Partnership / member tool,LOW,free game analysis tool for South African chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds their opening leaks and patterns in under a minute.

We would love to offer this to CHESSA members or explore any collaboration. Happy to share more.

[Your name]
firechess.com"
National Federation,Swedish Chess Federation (Schackforbundet),Organization,schackforbundet.se,20K+ members,schackforbundet.se/contact (form),Web Form,N/A - site had SSL issues,All Levels,Partnership / member tool,LOW,free game analysis tool for Swedish chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds their opening leaks in under a minute.

We would love to offer this to Schackforbundet members or explore a simple partnership.

[Your name]
firechess.com"
National Federation,Italian Chess Federation (FSI),Organization,federscacchi.it,30K+ members,federscacchi.it/it/federazione/contatti (form),Web Form,N/A - site timed out,All Levels,Partnership / member tool,LOW,free game analysis tool for Italian chess players - FireChess,"Hello,

We created FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and identifies opening weaknesses, missed tactics, and endgame patterns in under a minute.

We would love to discuss offering this to FSI members or any form of collaboration.

[Your name]
firechess.com"
National Federation,Australian Chess Federation (ACF),Organization,chess.org.au,10K+ members,chess.org.au (form / cert issue),Web Form,N/A - cert issue on site,All Levels,Partnership / member tool,LOW,free game analysis tool for Australian chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds their opening leaks and patterns in under a minute.

We would love to offer this to ACF members or explore a partnership. Happy to share more.

[Your name]
firechess.com"
National Federation,Canadian Chess Federation,Organization,chess.ca,20K+ members,chess.ca/en/contact (form),Web Form,N/A,All Levels,Partnership / member tool,MEDIUM,free game analysis tool for Canadian chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform. It scans a player's Chess.com or Lichess games and finds opening weaknesses and patterns in under a minute.

We would love to offer this to Canadian Chess Federation members or explore any collaboration. Happy to discuss.

[Your name]
firechess.com"
National Federation,Turkish Chess Federation (TSF),Organization,tsf.org.tr,40K+ members,tsf.org.tr (form),Web Form,N/A - site timed out,All Levels,Partnership / member tool,LOW,free game analysis tool for Turkish chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis tool that scans a player's Chess.com or Lichess games and finds their opening leaks in under a minute.

We would love to explore offering this to TSF members or any form of collaboration.

[Your name]
firechess.com"
National Federation,Argentinian Chess Federation (FADA),Organization,ajedrez.org.ar,15K+ members,ajedrez.org.ar/contacto (form),Web Form,N/A,All Levels,Partnership / member tool,LOW,free game analysis tool for Argentinian chess players - FireChess,"Hola,

Creamos FireChess (firechess.com), una herramienta gratuita que analiza las partidas de Chess.com o Lichess de un jugador y encuentra sus puntos debiles en menos de un minuto.

Nos gustaria explorar una colaboracion con la FADA o ofrecer la herramienta a los jugadores argentinos. Con gusto podemos contar mas detalles.

[Your name]
firechess.com"
National Federation,Brazilian Chess Federation (CBX),Organization,cbx.org.br,30K+ members,cbx.org.br (form),Web Form,N/A,All Levels,Partnership / member tool,LOW,free game analysis tool for Brazilian chess players - FireChess,"Ola,

Criamos o FireChess (firechess.com), uma ferramenta gratuita que analisa as partidas de Chess.com ou Lichess de um jogador e identifica seus pontos fracos em menos de um minuto.

Adorariamos explorar uma parceria com a CBX ou oferecer a ferramenta para jogadores brasileiros.

[Your name]
firechess.com"
YouTube Creator,Chess Vibes (Nelson Lopez),YouTube,youtube.com/@ChessVibesYouTube,360K YouTube subs,YouTube DM @ChessVibes,Social DM,NOT CONFIRMED,Beginner-Intermediate,Creator Partnership,MEDIUM,FireChess - partnership idea,"Hey Nelson,

Love the Chess Vibes content. We built FireChess (firechess.com) - it scans a player's Chess.com or Lichess games and finds exactly where they are losing. Opening leaks, missed tactics, endgame patterns. Takes under a minute.

Would you be interested in a creator partnership? Free Pro access, a promo code for your audience, 30% recurring commission.

[Your name]
firechess.com"
YouTube Creator,ChessNetwork (Jerry),YouTube,youtube.com/@ChessNetwork,500K+ YouTube subs,YouTube DM @ChessNetwork,Social DM,NOT CONFIRMED,Intermediate-Advanced,Creator Partnership,MEDIUM,FireChess - collab idea,"Hey Jerry,

Been watching ChessNetwork for years. We built FireChess (firechess.com) - it scans a player's Chess.com or Lichess games and finds their opening leaks in under a minute. Great content for your audience.

Interested in a creator deal? Free Pro access, a promo code, 30% recurring commission on upgrades through your link.

[Your name]
firechess.com"
GM YouTuber / Instructor,Ben Finegold,YouTube,youtube.com/@GrandmasterBenFinegold,200K+ YouTube subs,Twitter DM @GMFinegold,Social DM,NOT CONFIRMED,Intermediate-Advanced,Creator + Coach Partnership,MEDIUM,FireChess - quick pitch,"Hey Ben,

Love the Finegold content. We made FireChess (firechess.com) - it scans a player's Chess.com or Lichess games and shows them exactly why they are stuck at their rating. Opening leaks, tactical patterns, the whole picture.

Would you be interested in checking it out? Happy to set you up with free Pro access and 30% commission if you want to share it with your audience.

[Your name]
firechess.com"
